,Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume,sentiment
0,2014-07-02,186.34,188.99,186.17,188.39,5093000.0,0.0,1.0,154.34559375928615,156.54059120192923,154.20478260258832,156.04361064887797,5093000.0,7.0
1,2014-07-03,188.39,188.80599999999998,187.35,188.53,2422400.0,0.0,1.0,156.04361064887797,156.38818383232686,155.18217769025583,156.15957277792327,2422400.0,-7.0
2,2014-07-07,187.61,188.27,187.44,188.04,2958700.0,0.0,1.0,155.39753592991136,155.94421453826774,155.25672477321345,155.75370532626474,2958700.0,2.0
3,2014-07-08,187.65,188.08,186.37,187.22,3135100.0,0.0,1.0,155.4306679667814,155.7868373631348,154.37044278693875,155.074498570428,3135100.0,-1.0
4,2014-07-09,187.68,188.9,186.89,188.42,3309600.0,0.0,1.0,155.455516994434,156.46604411897155,154.8011592662498,156.06845967653052,3309600.0,7.0
5,2014-07-10,186.44,188.05,186.21,187.7,3177800.0,0.0,1.0,154.42842385146142,155.76198833548227,154.2379146394584,155.472083012869,3177800.0,-1.0
6,2014-07-11,187.73,188.35,186.705,188.0,2402500.0,0.0,1.0,155.4969320405216,156.01047861200792,154.6479235957257,155.72057328939462,2402500.0,-4.0
7,2014-07-14,188.55,190.44,188.53,189.86,4501100.0,0.0,1.0,156.17613879635832,157.74162753846974,156.15957277792327,157.26121300385358,4501100.0,0.0
8,2014-07-15,189.54,190.08,188.21,188.49,4864700.0,0.0,1.0,156.9961567088929,157.44343920663903,155.89451648296262,156.1264407410532,4864700.0,1.0
9,2014-07-16,192.24,193.36,190.76,192.36,7812600.0,0.0,1.0,159.2325691976236,160.1602662299859,158.00668383343043,159.33196530823386,7812600.0,-8.0
10,2014-07-17,192.36,195.95,192.0,192.49,8872300.0,0.0,1.0,159.33196530823386,162.30556561732385,159.03377697640306,159.4396444280616,8872300.0,-4.0
11,2014-07-18,191.96,193.44,190.0,192.5,8166400.0,0.0,1.0,159.00064493953298,160.2265303037261,157.37717513289888,159.44792743727908,8166400.0,7.0
12,2014-07-21,191.3,191.7,189.25,190.85,4154400.0,0.0,1.0,158.4539663311766,158.78528669987742,156.75594944158482,158.08123091638814,4154400.0,-6.0
13,2014-07-22,191.59,194.72,191.56,194.09,4853000.0,0.0,1.0,158.6941735984847,161.28675548356875,158.66932457083215,160.76492590286497,4853000.0,-2.0
14,2014-07-23,194.11,194.9,193.57,193.63,3584200.0,0.0,1.0,160.7814919213,161.4358496494841,160.33420942355386,160.38390747885896,3584200.0,0.0
15,2014-07-24,193.95,195.62,193.75,195.24,3612700.0,0.0,1.0,160.64896377381962,162.03222631314566,160.48330358946922,161.71747196287987,3612700.0,-4.0
16,2014-07-25,195.3,195.9,193.7901,194.4,3376400.0,0.0,1.0,161.767170018185,162.26415057123626,160.51651845643147,161.0216991886081,3376400.0,3.0
17,2014-07-28,194.3,196.4,193.65,195.78,3242400.0,0.0,1.0,160.93886909643288,162.6783010321123,160.40047349729403,162.164754460626,3242400.0,-3.0
